,id,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
12281,12281,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.450822025,0.420598245,32.69048728,5755.70016
2724,2724,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.559094277,0.477778535,38.3177098,6569.24967
15281,15281,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.480072982,0.419851618,34.02922281,5794.89185
13492,13492,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.578556842,0.486889324,40.40291611,7175.06898
796,796,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.377506532,0.409269062,30.12737627,3748.46547
6638,6638,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.486344644,0.446518367,35.82485206,5178.27031
2526,2526,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.384981338,0.394971427,30.68026439,3941.25512
9202,9202,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.477961423,0.436258462,32.46088718,4700.57615
7793,7793,25.0,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.425493214,0.424902006,32.41723682,4568.67217
8621,8621,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.546275069,0.453119748,36.16604354,6589.27898
1404,1404,12.5,0.75,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.474009658,0.435287772,34.89580066,5225.16307
5583,5583,12.5,0.25,0.25,0.25,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.619453149,0.50952792,43.07173864,8263.28974
10281,10281,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.572046486,0.481349777,39.98873363,7675.96352
9761,9761,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.527742687,0.436376172,36.24969463,6482.70572
6842,6842,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.578556842,0.486816771,40.36001849,7064.16978
11634,11634,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.520756415,0.460795368,37.38218685,6279.3385
8885,8885,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.561296524,0.46618285,40.56148952,7243.22611
1695,1695,25.0,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.43687052,0.409260571,33.3649925,5009.96222
7830,7830,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.429000524,0.391211231,31.11988062,5934.01088
2387,2387,12.5,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.517169415,0.454160581,36.04045222,6198.06496
13831,13831,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.514086408,0.437062839,36.69768447,6335.29639
10807,10807,12.5,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.565324698,0.471650366,41.36318078,7064.16978
2133,2133,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.50476135,0.451905492,36.30184732,5864.12845
11258,11258,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.509560238,0.450692194,36.46620322,6397.35569
7439,7439,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.47771355,0.417915449,34.83881461,5347.71894
3643,3643,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.354086468,0.367762987,27.19065136,3720.71159
2606,2606,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.542170237,0.431072001,35.18597077,6132.99793
11015,11015,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.532704207,0.471665153,38.82636429,6747.59779
1732,1732,25.0,0.5,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.528899809,0.465157167,37.78638255,6515.26145
4462,4462,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.480707687,0.438095887,34.78488765,5715.0084
9611,9611,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.444908279,0.398116316,31.78135831,5449.4212
12779,12779,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.531583632,0.46389552,37.29886067,6524.29532
12196,12196,25.0,0.5,0.38,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.404413049,0.403128905,31.88184658,4684.89321
12999,12999,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.443419908,0.415160646,31.64262219,4433.53697
2735,2735,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.467519105,0.429710486,33.44747085,5347.71894
7096,7096,12.5,0.25,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.527742687,0.438095887,39.49160012,7236.09025
8214,8214,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.381314223,0.399723843,29.88711983,3983.09785
7682,7682,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.514086408,0.452680279,36.97636061,5016.74159
9594,9594,12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.566319234,0.436459223,36.01862394,6887.46649
14663,14663,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.529678291,0.432754792,36.94898618,6608.90751
13072,13072,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.506742719,0.454522205,36.85236256,6079.08526
10872,10872,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.583378727,0.481173502,38.6454264,6920.08427
12587,12587,25.0,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.553032347,0.442193092,39.77346165,7483.73632
2285,2285,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.574708327,0.442535249,40.56148952,7085.06308
12024,12024,12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.478469338,0.409260571,32.5102476,5544.62172
5432,5432,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.48180056,0.412450296,34.97653895,4850.03746
10547,10547,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.506793789,0.453649741,36.36293728,6117.4759
11101,11101,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.549794912,0.449306369,38.70569591,6575.59267
11388,11388,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.544066693,0.478938627,37.81761708,6771.72291
13916,13916,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.573428227,0.482979714,40.54647951,7297.7321
15170,15170,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.459358436,0.405976473,31.39456852,5811.21147
856,856,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.543966758,0.463558518,37.53578671,5556.37228
1472,1472,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.408178454,0.403204844,31.67889844,4705.62653
4097,4097,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.506054066,0.452630705,38.17159714,7479.93417
6981,6981,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.494677622,0.447157374,34.79781929,5777.3754
9834,9834,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.447115975,0.425532717,33.12546719,4460.91457
12327,12327,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.451083154,0.424728104,33.32452765,4975.88538
11145,11145,25.0,0.5,0.38,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.565085745,0.485752533,40.92318298,7071.83395
3159,3159,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.509158377,0.450886886,36.13019216,6236.70711
14920,14920,12.5,0.25,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.558537787,0.472521274,38.65527495,6708.24129
12799,12799,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.404446048,0.401091418,30.73453761,4356.94587
10727,10727,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.407072571,0.409645243,31.02327724,4357.82292
11642,11642,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.585313688,0.488005014,40.4613306,7369.68559
630,630,37.5,0.75,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.262139643,0.349353787,33.16394425,2384.72892
10752,10752,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.403217329,0.395717025,30.79374092,4068.35066
12464,12464,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.440365017,0.401067837,32.68039834,4740.01505
5998,5998,25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.506104448,0.454080207,36.04067528,6687.25926
364,364,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.500058984,0.419851618,36.94898618,6374.4443
2343,2343,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.508296527,0.453131061,35.53114233,6328.89332
5244,5244,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.371183688,0.392787396,27.44242745,3784.11935
10902,10902,12.5,0.25,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.612209289,0.502786993,42.79905453,7829.514
8263,8263,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.424778393,0.389814772,29.23425966,4575.76991
14446,14446,12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.641617746,0.529619103,45.718182,8743.52098
8433,8433,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.543968929,0.468039601,37.53578671,6277.16867
12619,12619,12.5,0.25,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.594836828,0.497978979,41.71941614,7425.75194
12263,12263,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.500207249,0.444139023,35.72822346,6994.24801
13734,13734,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.363726236,0.395636151,29.73999168,3720.71159
9562,9562,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.530916639,0.466640196,37.44044874,6331.86722
12533,12533,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.52332906,0.460322355,37.03174422,6327.00807
1637,1637,12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.467812388,0.434349356,34.3041215,5221.35741
11024,11024,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.578887446,0.482118713,39.92318644,7888.41493
10249,10249,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.427020997,0.432440021,34.20739786,5305.74363
10619,10619,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.608344644,0.50146507,42.11266981,7738.88171
12224,12224,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.579179402,0.486003684,40.57450377,7829.514
827,827,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.527591617,0.465041445,41.93380223,7340.46077
8779,8779,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.520587192,0.459420676,36.98857322,6368.84982
11709,11709,12.5,0.25,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.622622866,0.5251356,45.95298911,8247.52116
9026,9026,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.559324725,0.455404808,38.61011529,7884.56772
8784,8784,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.481472551,0.466670798,34.43568098,4870.62537
8136,8136,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.48180056,0.44959908,35.55891105,5695.56442
11571,11571,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.57967664,0.479607332,38.13019216,7669.81182
4755,4755,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.442693354,0.42726083,33.99420814,5085.84473
10511,10511,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.483872542,0.445284233,35.37114225,5772.91016
11220,11220,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.581744319,0.485989695,40.26540842,7483.73632
944,944,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.489823352,0.441974474,35.20741312,5531.35174
3527,3527,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.435969213,0.403128905,38.34356655,6500.09778
1781,1781,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.475118209,0.418867231,34.0430221,5735.13303
6153,6153,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.387861179,0.400931944,29.46743356,3901.98955
9662,9662,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.610993712,0.504877559,33.3039002,5085.84473
497,497,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.538125922,0.445071322,36.6742427,6594.0446
1926,1926,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.507214901,0.453507667,36.83081961,6292.42962
2753,2753,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.372318474,0.394606103,30.66522059,3834.5748
11349,11349,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.46274257,0.425245072,33.4416065,5217.13976
6340,6340,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.448841436,0.428903862,33.94201411,4830.95981
14613,14613,25.0,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.39936701,0.406618165,31.44841986,4320.87416
11429,11429,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.498058212,0.444658692,35.47352652,5503.09583
14675,14675,12.5,0.25,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.63346314,0.51715975,43.93700206,7895.0208
11659,11659,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.53255682,0.467558508,35.64822051,6451.10052
4579,4579,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.354086468,0.388525442,29.31600198,3813.16579
2494,2494,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.553032347,0.470852882,38.0603745,7558.00588
8745,8745,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.497503209,0.445284233,35.8744954,5018.45303
14348,14348,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.583378727,0.488527456,40.28237595,7690.1749
7622,7622,25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.448841436,0.398116316,31.79835142,4813.45285
3673,3673,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.622622866,0.513260507,43.55016374,8174.46338
1713,1713,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.590337413,0.495164177,41.3159122,7207.4203
10915,10915,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.578889093,0.482807121,39.85898134,7117.95038
162,162,37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.443419908,0.398255665,31.88184658,5296.61109
3949,3949,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.449875425,0.398255665,32.02764698,5330.36931
560,560,25.0,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.429000524,0.391211231,31.07883034,4936.01177
11314,11314,12.5,0.25,0.25,0.25,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.498696418,0.448597173,36.83081961,6292.96076
12249,12249,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.565324698,0.486789422,39.09688443,6836.39728
4429,4429,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.569329938,0.486003684,40.45342047,7771.01027
12652,12652,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.532303678,0.434276914,35.18587077,6318.70872
10651,10651,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.598814008,0.490981116,40.92210139,7660.88604
8935,8935,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.559215109,0.476308423,39.33251373,6922.84679
3106,3106,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.448841436,0.41985155,41.13589278,2508.37567
8899,8899,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.466297848,0.429376052,33.43397592,5336.97473
13039,13039,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.498714581,0.446570029,35.92331361,5367.61826
11185,11185,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.481472551,0.446570029,35.48354994,5637.9843
3751,3751,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.558394035,0.478666426,39.44864975,7117.95038
1797,1797,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.556301788,0.478760617,39.18675925,6979.32479
12053,12053,37.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.476202171,0.416537797,33.95797729,5178.27031
349,349,25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.398218446,0.404796043,31.67018669,4489.22384
4352,4352,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.589306067,0.488615886,40.2744187,7560.20565
3155,3155,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.546003143,0.453001484,36.97636061,8538.462
3347,3347,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.447668818,0.415160646,33.08835541,4813.45285
12093,12093,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.508104246,0.452027468,36.83081961,4489.22384
11934,11934,25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.538048419,0.465888285,37.71251297,7706.88137
1292,1292,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.528518697,0.437693166,36.31013579,6821.8081
11352,11352,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.553729922,0.472468254,38.3054111,6821.8081
1114,1114,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.419015102,0.416107584,32.15868546,4546.78674
10115,10115,12.5,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.408487848,0.400980125,30.39027791,4356.94587
5645,5645,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.449195313,0.427430828,33.55926075,4920.13663
5338,5338,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.539255853,0.462760521,37.27729673,6198.06496
6201,6201,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.505120461,0.448972519,35.20741312,5914.16491
800,800,25.0,0.5,0.38,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.473142233,0.445717779,34.89511705,4808.60902
2463,2463,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.430443779,0.405898222,32.81579359,4936.10558
6820,6820,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.561296524,0.46618285,39.20306912,6735.24371
12253,12253,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.429580755,0.402362581,31.79835142,4254.82514
5709,5709,12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.603545036,0.497916665,41.61500537,7616.70599
4580,4580,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.52332906,0.437062839,35.62231346,6526.98819
3804,3804,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.473142233,0.446535249,34.50188081,4387.74185
5395,5395,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.509158377,0.450786211,36.31159312,6187.95188
8713,8713,12.5,0.25,0.25,0.25,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.408797854,0.389204379,30.73453761,4100.75917
1453,1453,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.547743879,0.476588872,38.6454264,6583.45789
7081,7081,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.520756415,0.460322355,41.94865711,5628.71053
7484,7484,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.435965493,0.419720202,31.86773783,4234.86859
6349,6349,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.464365879,0.436345708,34.53114233,5602.02293
8231,8231,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.509933842,0.450692194,36.94898618,6673.304
3525,3525,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.63346314,0.528322189,44.56159301,7969.02575
10456,10456,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.439423956,0.40166998,31.90931611,5009.96222
10276,10276,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.466109593,0.434893878,34.01445364,5750.88107
8077,8077,25.0,0.5,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.509782413,0.455453173,36.81018683,6202.32702
2051,2051,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.44371199,0.41985155,32.81456057,4433.53697
2412,2412,12.5,0.25,0.25,0.25,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.468039601,0.429710486,32.5102476,5732.24032
11940,11940,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.476807761,0.419851618,34.02922281,5735.13303
4555,4555,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.498058212,0.443504,35.28592597,5892.161
7366,7366,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.626280739,0.516666897,42.73173641,8307.38018
1587,1587,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.548724554,0.418219535,39.7419306,7858.68558
